id,cat,text,spicy,jeune
108,"passe","C'est quoi la période la plus difficile de ta vie et comment tu l'as traversée ?",false,false
109,"passe","Tu as déjà renoncé à quelque chose d'important ? Tu le regrettes ?",false,false
110,"passe","C'est quoi la version de toi dont tu es le moins fier ?",false,false
120,"futur","Où tu te vois dans 10 ans ?",false,false
121,"futur","C'est quoi ta plus grande peur pour l'avenir ?",false,false
122,"futur","Si tu pouvais garantir une seule chose pour ton futur, ce serait quoi ?",false,false
123,"futur","C'est quoi le projet dont tu parles depuis longtemps mais que tu n'as pas lancé ?",false,false
124,"futur","Dans 20 ans, qu'est-ce que tu veux que les gens disent de toi ?",false,false
125,"futur","Si tu ne pouvais pas échouer, qu'est-ce que tu essaierais de faire ?",false,false
126,"futur","Tu veux des enfants ? Pourquoi ?",false,false
127,"futur","C'est quoi le truc que tu regrettes de ne pas avoir commencé plus tôt ?",false,false
128,"futur","Si tu savais que tu allais mourir dans un an, qu'est-ce que tu ferais différemment ?",false,false
129,"futur","C'est quoi ton objectif le plus ambitieux ?",false,false
130,"futur","Tu as une vision claire de ce que tu veux ou tu avances un peu à l'aveugle ?",false,false
131,"futur","C'est quoi la chose que tu t'interdis de vouloir parce que tu penses que c'est hors de portée ?",false,false
132,"futur","Si tu pouvais changer de vie du jour au lendemain, tu le ferais ?",false,false
133,"futur","C'est quoi ta définition du succès ?",false,false
134,"futur","Tu penses que tu seras plus heureux dans 10 ans qu'aujourd'hui ?",false,false
135,"futur","C'est quoi la compétence que tu veux absolument acquérir ?",false,false
136,"futur","Si tu devais choisir un pays pour vivre le reste de ta vie, ce serait lequel ?",false,false
137,"futur","Tu as peur de vieillir ? Pourquoi ?",false,false
138,"futur","C'est quoi la chose que tu feras dès demain si tu te promets de la faire vraiment ?",false,false
139,"futur","Tu te vois vivre seul ou avec quelqu'un dans 10 ans ?",false,false
140,"futur","C'est quoi le rêve que tu n'as encore dit à personne ?",false,false
150,"intime","C'est quoi ta plus grande insécurité ?",false,false
151,"intime","Tu te sens vraiment compris par les gens qui t'entourent ?",false,false
152,"intime","Qu'est-ce que les gens pensent de toi qui est complètement faux ?",false,false
153,"intime","Tu as déjà eu une pensée que tu n'oserais jamais dire à voix haute ?",false,false
154,"intime","C'est quoi la chose dont tu as le plus honte dans ta vie ?",false,false
155,"intime","Si les gens pouvaient voir à l'intérieur de toi, qu'est-ce qui les surprendrait le plus ?",false,false
156,"intime","Tu te parles comment quand tu es seul avec toi-même ?",false,false
157,"intime","C'est quoi la chose que tu voudrais que les autres comprennent sur toi sans que tu aies à l'expliquer ?",false,false
158,"intime","Tu as déjà eu envie de tout laisser tomber ? Qu'est-ce qui t'a retenu ?",false,false
159,"intime","C'est quoi le masque que tu portes le plus souvent ?",false,false
160,"intime","Tu as une facette de toi que tu caches même à tes proches ?",false,false
161,"intime","C'est quoi le compliment qui t'a le plus touché dans ta vie ?",false,false
162,"intime","Tu as déjà eu honte d'une partie de ton identité ?",false,false
163,"intime","C'est quoi la chose que tu fais pour te sentir bien quand tu vas vraiment mal ?",false,false
164,"intime","Tu te considères comme quelqu'un de bien ? Pourquoi ?",false,false
165,"intime","C'est quoi la chose que tu acceptes difficilement chez toi ?",false,false
166,"intime","Tu as peur de quoi au fond ?",false,false
167,"intime","C'est quoi le moment où tu t'es senti le plus seul ?",false,false
168,"intime","Tu te sens à ta place dans ta vie en ce moment ?",false,false
169,"intime","C'est quoi quelque chose que tu t'es promis et que tu n'as pas tenu ?",false,false
170,"intime","Est-ce que tu te fais confiance ?",false,false
180,"entrenous","C'est quoi la première chose que tu as pensé de moi quand on s'est rencontrés ?",false,false
181,"entrenous","Il y a quelque chose que tu voudrais me dire mais que tu n'as jamais osé ?",false,false
182,"entrenous","Tu penses qu'on se connaît vraiment ?",false,false
183,"entrenous","C'est quoi la chose que tu apprécies le plus en moi ?",false,false
184,"entrenous","C'est quoi un moment où j'ai changé ta façon de voir les choses ?",false,false
185,"entrenous","Si tu devais décrire notre relation en un seul mot, ce serait lequel ?",false,false
186,"entrenous","C'est quoi quelque chose que tu aurais aimé me dire il y a longtemps ?",false,false
187,"entrenous","Il y a un malentendu entre nous que tu n'as jamais vraiment résolu ?",false,false
188,"entrenous","C'est quoi la chose que tu aimes le moins chez moi mais que tu acceptes quand même ?",false,false
189,"entrenous","Tu as déjà eu peur de me perdre ?",false,false
190,"entrenous","C'est quoi le moment où tu as réalisé qu'on avait une vraie connexion ?",false,false
191,"entrenous","Il y a quelque chose que tu fais différemment depuis qu'on se connaît ?",false,false
192,"entrenous","C'est quoi le souvenir qui te fait sourire quand tu penses à nous ?",false,false
193,"entrenous","Si tu devais me présenter à quelqu'un, qu'est-ce que tu dirais de moi ?",false,false
194,"entrenous","Tu penses que je suis tel que je me présente ou tu vois quelque chose que les autres ne voient pas ?",false,false
195,"entrenous","C'est quoi la conversation qu'on n'a jamais eue et qu'on devrait avoir ?",false,false
196,"entrenous","Si tu pouvais me donner un seul conseil, ce serait lequel ?",false,false
197,"entrenous","Tu m'as déjà jugé sans me le dire ?",false,false
198,"entrenous","C'est quoi la chose que tu ferais différemment dans notre relation si tu pouvais ?",false,false
199,"entrenous","Est-ce que tu penses qu'on se ressemble plus qu'on ne le montre ?",false,false
200,"entrenous","C'est quoi quelque chose que tu n'as dit à personne d'autre qu'à moi ?",false,false
210,"societe","C'est quoi le plus grand problème de notre génération ?",false,false
211,"societe","Tu penses que les réseaux sociaux font plus de bien que de mal ?",false,false
212,"societe","C'est quoi une opinion impopulaire que tu assumes pleinement ?",false,false
213,"societe","Tu te sens libre dans la société dans laquelle tu vis ?",false,false
214,"societe","C'est quoi une injustice qui t'énerve vraiment ?",false,false
215,"societe","Si tu étais au pouvoir demain, quelle serait ta première décision ?",false,false
216,"societe","C'est quoi un sujet dont on ne parle pas assez ?",false,false
217,"societe","Tu penses que les médias nous montrent la réalité ?",false,false
218,"societe","Tu te sens concerné par ce qui se passe dans le monde ou tu préfères t'en détacher ?",false,false
219,"societe","C'est quoi une norme sociale que tu trouves absurde ?",false,false
220,"societe","Tu penses qu'il est encore possible de changer les choses à grande échelle ?",false,false
221,"societe","Internet a changé ta façon de penser. Dans quel sens ?",false,false
222,"societe","C'est quoi un privilège que tu as et dont tu ne te rends pas toujours compte ?",false,false
223,"societe","Tu penses qu'on vit mieux ou moins bien que la génération de nos parents ?",false,false
224,"societe","C'est quoi une valeur que la société actuelle perd selon toi ?",false,false
225,"societe","Tu fais confiance aux institutions — gouvernement, justice, médias ?",false,false
226,"societe","C'est quoi le combat de ta génération ?",false,false
227,"societe","Tu penses que l'intelligence artificielle va changer ta vie ? Comment ?",false,false
228,"societe","C'est quoi une chose que ta culture t'a apprise que tu n'aurais pas voulu apprendre ?",false,false
229,"societe","Est-ce qu'on a le droit de juger les choix de vie des autres ?",false,false
230,"societe","C'est quoi quelque chose que notre société fait vraiment bien ?",false,false
300,"amour","C'est quoi ta position sexuelle préférée ?",true,false
301,"intime","Tu préfères être dominant ou soumis ?",true,false
302,"intime","C'est quoi ton fantasme que tu n'as jamais réalisé et que tu aimerais réaliser ?",true,false
303,"intime","Tu as déjà fait quelque chose d'osé dans un lieu public ?",true,false
304,"intime","C'est quoi la chose la plus folle que tu aies faite sexuellement ?",true,false
305,"amour","C'est quoi ton type physique idéal, sans filtre ?",true,false
306,"intime","Tu as déjà envoyé ou reçu des photos compromettantes ?",true,false
307,"amour","C'est quoi le truc qui t'attire le plus chez quelqu'un physiquement ?",true,false
308,"entrenous","Tu as déjà eu un crush sur quelqu'un dans ce groupe ?",true,false
309,"entrenous","Tu as déjà embrassé ou voulu embrasser quelqu'un ici ?",true,false
310,"intime","C'est quoi ta plus grande curiosité sexuelle que tu n'as pas encore explorée ?",true,false
311,"amour","C'est quoi la chose la plus osée que tu voudrais qu'on te fasse ?",true,false
312,"intime","C'est quoi le lieu le plus inhabituel où tu as déjà fait quelque chose d'osé ?",true,false
313,"intime","Tu as déjà joué un rôle dans une situation intime ?",true,false
314,"amour","C'est quoi ton red flag qui t'attire malgré toi ?",true,false
315,"intime","Tu as déjà sexté ? C'était bien ?",true,false
316,"amour","C'est quoi la chose la plus dingue que tu ferais pour séduire quelqu'un qui te plaît vraiment ?",true,false
317,"intime","Tu préfères l'amour physique intense et court ou tendre et long ?",true,false
318,"amour","C'est quoi le baiser dont tu te souviens le plus ?",true,false
319,"intime","Tu as déjà attiré quelqu'un sans le vouloir ? Comment tu l'as géré ?",true,false
320,"entrenous","Si tu devais embrasser quelqu'un dans ce groupe, ce serait qui ?",true,false
321,"amour","Tu préfères être séduit ou séduire ?",true,false
322,"intime","C'est quoi la chose la plus sexy que quelqu'un puisse faire sans s'en rendre compte ?",true,false
323,"amour","Tu as déjà été dans une situation de tension sexuelle avec quelqu'un dans ton entourage proche ?",true,false
324,"intime","C'est quoi quelque chose que tu aimes dans l'intimité mais que tu n'avoues généralement pas ?",true,false
400,"philo","C'est quoi ton rêve le plus grand que tu n'as dit à personne ?",false,true
401,"societe","Il y a un truc à l'école que tu trouves vraiment inutile. Lequel ?",false,true
402,"philo","Tu te sens plus toi-même avec qui ?",false,true
403,"passe","C'est quoi la chose qui t'a le plus changé cette année ?",false,true
404,"societe","Tu penses souvent à ce que les autres pensent de toi ?",false,true
405,"futur","Si tu pouvais faire un seul métier toute ta vie, ce serait lequel ?",false,true
406,"philo","C'est quoi la différence entre un ami et un vrai ami selon toi ?",false,true
407,"drole","C'est quoi le truc le plus gênant que tu aies fait devant tes parents ?",false,true
408,"societe","Est-ce que tu penses que les adultes comprennent vraiment ce que vivent les jeunes ?",false,true
409,"futur","Dans 5 ans, tu veux être où et faire quoi ?",false,true
410,"passe","C'est quoi ton meilleur souvenir avec tes amis ?",false,true
411,"philo","Tu trouves qu'il est difficile d'être toi-même au quotidien ? Pourquoi ?",false,true
412,"societe","Les réseaux sociaux te font te sentir comment en général ?",false,true
413,"drole","C'est quoi le mensonge le plus incroyable que tu aies dit à un prof ?",false,true
414,"futur","C'est quoi quelque chose que tu veux absolument faire avant tes 20 ans ?",false,true
415,"philo","Tu penses que l'amitié peut durer toute une vie ou les gens changent trop ?",false,true
416,"passe","Il y a une période de ta vie où tu étais vraiment heureux. C'était quand ?",false,true
417,"societe","C'est quoi quelque chose que tu voudrais que ta famille comprenne mieux de toi ?",false,true
418,"drole","Tu as déjà fait semblant d'être malade pour rater l'école ? Comment ça s'est passé ?",false,true
419,"futur","C'est quoi ta plus grande peur pour ton avenir ?",false,true
420,"philo","Est-ce que tu penses que tu es quelqu'un de courageux ? Donne un exemple.",false,true
421,"passe","C'est quoi quelque chose que tu as fait dont tu es fier mais que tu n'as jamais dit à personne ?",false,true
422,"societe","C'est quoi un problème du monde qui te touche vraiment, personnellement ?",false,true
423,"drole","C'est quoi la situation la plus awkward que tu aies vécue avec quelqu'un que tu kiffes ?",false,true
424,"futur","Tu imagines ta vie comment à 30 ans ? Famille, travail, endroit ?",false,true
425,"philo","C'est quoi quelque chose que tu croyais fort quand tu étais petit et que tu ne crois plus ?",false,true
426,"passe","C'est quoi un moment où tu t'es senti vraiment incompris ?",false,true
427,"societe","Si tu pouvais changer une règle à l'école ou à la maison, ce serait laquelle ?",false,true
428,"drole","C'est quoi le défi ou le pari le plus idiot que tu aies accepté ?",false,true
429,"futur","C'est quoi quelque chose que tu veux accomplir que personne dans ta famille n'a fait avant toi ?",false,true
